Location,Year,Sample_date,Tissue,UCDavis,DFO_sample_id,csia_sample_id,sex,duplicate_in_year,duplicate_other_year,duplicate_id,wgs,genetic_group,pop_analysis,mean_se,Ala,Asx,Glx,Gly,Ile,Leu,Lys,Met,Phe,Pro,Ser,Thr,Tyr,Val
Mittimatalik,2013,2013-08-11,SKIN,CM124,ARPI-2013-06,ARPI4006,F,0,1,ARPI4006,1,ECAG1,1,se,0.5056,0.1676,0.1527,0.2192,1.7522,0.606,0.1047,0.9822,0.1011,0.3005,0.4207,0.0403,0.4448,0.362
Mittimatalik,2013,2013-08-11,SKIN,CM125,ARPI-2013-07,ARPI4007,M,0,0,ARPI4007,1,ECAG1,1,se,0.8372,0.3288,0.1874,0.6633,0.8719,0.2581,1.0501,0.0064,0.5918,0.1181,0.2447,0.4038,0.1803,0.1138
Pangnirtung,2020,2020-08-05,SKIN,CM262,KW-2020-PG-01,KW-2020-PG-01,M,1,2,KW-2020-PG-01,1,ECAG1,,se,0.1167,0.2143,0.1662,0.1881,0.082,0.1329,0.0014,0.7637,0.1563,0.0389,0.3132,0.152,0.5077,0.1202
Pangnirtung,2020,2020-08-05,SKIN,CM263,KW-2020-PG-02,KW-2020-PG-02,F,0,0,KW-2020-PG-02,1,ECAG1,1,se,0.2489,0.2206,0.1655,0.029,0.4872,0.2835,1.1554,1.1038,0.2086,0.1605,0.4646,0.2362,0.0233,0.2284
Pangnirtung,2020,2020-08-05,SKIN,CM264,KW-2020-PG-03,KW-2020-PG-03,F,1,2,KW-2020-PG-03,1,ECAG1,,se,0.07,0.5268,0.2072,0.0141,0.2892,0.3734,0.1973,0.2128,0.3458,0.1612,0.0806,0.0636,0.961,0.2157
Pangnirtung,2020,2020-08-05,SKIN,CM265,KW-2020-PG-04,KW-2020-PG-04,M,1,0,KW-2020-PG-04,1,ECAG1,,se,0.1322,0.2256,0.0573,0.2135,0.2977,0.082,0.1831,0.2609,0.5515,0.0396,0.239,0.5636,0.8351,0.0431
Pangnirtung,2020,2020-08-06,SKIN,CM266,KW-2020-PG-05,KW-2020-PG-05,M,0,0,KW-2020-PG-05,1,ECAG1,1,se,0.7481,0.3889,0.4101,0.5558,0.1598,0.3182,0.5565,0.4349,0.6032,0.046,0.1959,0.7198,0.7212,0.2708
Pangnirtung,2020,2020-08-06,SKIN,CM267,KW-2020-PG-06,KW-2020-PG-06,F,1,2,ARPI4006,1,ECAG1,,se,0.5247,0.0544,0.0919,0.2828,0.0721,0.0255,0.0212,0.659,0.3083,0.0672,0.1838,0.8019,1.7565,0.5028
Pangnirtung,2020,2020-08-06,SKIN,CM268,KW-2020-PG-07,KW-2020-PG-07,F,2,3,KW-2020-PG-03,1,ECAG1,,se,0.2991,0.2454,0.3514,0.0509,0.9023,0.2468,0.3797,0.4236,0.3189,0.3677,0.3578,0.0438,0.1888,0.1336
Pangnirtung,2020,2020-08-06,SKIN,CM269,KW-2020-PG-08,KW-2020-PG-08,F,0,0,KW-2020-PG-08,0,ECAG1,,se,0.0976,0.0262,0.0651,0.0488,0.7283,0.2524,0.2602,0.3253,0.6053,0.053,0.1725,0.3345,0.1252,0.0226
